AAA repair                                                                               ,AAA repair                                                                                        ,['abdominal aortic aneurysm repair']
ABO incompatibility                                                                      ,ABO incompatibility                                                                               ,[]
ACTH syndrome - ectopic                                                                  ,ACTH syndrome - ectopic                                                                           ,['ACTH syndrome ectopic']
AIDS                                                                                     ,AIDS                                                                                              ,"['HIV / AIDS', 'auto immune deficiency syndrome']"
AIDS-related complex                                                                     ,AIDS-related complex                                                                              ,"['AIDS related complex unspec', 'ARC', 'ARC unspecified']"
Abdominal abscess                                                                        ,Abdominal abscess                                                                                 ,[]
Abdominal aneurysm                                                                       ,Abdominal aneurysm                                                                                ,"['AAA', 'Triple A', 'abdominal aortic aneurysm', 'aneurysm abdominal aorta']"
Abdominal bruit                                                                          ,Abdominal bruit                                                                                   ,[]
Abdominal colic                                                                          ,Abdominal colic                                                                                   ,[]
Abdominal mass                                                                           ,Abdominal mass                                                                                    ,['mass in abdomen']
Abdominal pain                                                                           ,Abdominal pain                                                                                    ,"['belly ache', 'belly pain', 'pain in abdomen', 'stomach ache', 'stomach pain']"
Abdominal paracentesis                                                                   ,Abdominal paracentesis                                                                            ,[]
Abdominal surgery                                                                        ,Abdominal surgery                                                                                 ,[]
Abdominoplasty                                                                           ,Tummy tuck (abdominoplasty)                                                                       ,[]
Abducens nerve palsy                                                                     ,Sixth (abducens) nerve palsy                                                                      ,"['6th nerve palsy', 'sixth nerve palsy']"
Abetalipoporteinemia                                                                     ,Abetalipoporteinemia                                                                              ,[]
Abortion                                                                                 ,Abortion                                                                                          ,['complete abortion']
Above knee amputation                                                                    ,Above knee amputation (AKA)                                                                       ,"['AK amputation', 'AKA']"
Abruptio placentae                                                                       ,Separation of placenta from uterus (abruption)                                                    ,"['Early separation of placenta', 'Early separation of placenta', 'abruptio placentae', 'placental abruption']"
Abscess                                                                                  ,Abscess                                                                                           ,"['abcess', 'absess']"
Abscess drainage                                                                         ,Abscess drainage                                                                                  ,[]
Abuse - alcohol                                                                          ,Abuse - alcohol                                                                                   ,"['EtOH Abuse', 'Ethanol', 'alcoh dep NEC/NOS-unspec', 'alcohol intoxication', 'alcoholism', 'drunk']"
Acanthosis nigricans                                                                     ,Acanthosis nigricans                                                                              ,[]
Achalasia                                                                                ,Achalasia                                                                                         ,[]
Achilles tendon rupture                                                                  ,Achilles tendon rupture                                                                           ,['ruptured achilles tendon']
Achlorhydria                                                                             ,Achlorhydria                                                                                      ,[]
Acidosis - lactic                                                                        ,Acidosis - lactic                                                                                 ,[]
Acidosis - metabolic                                                                     ,Acidosis - metabolic                                                                              ,['acidosis metablc']
Acinar cell tumor                                                                        ,Acinar cell tumor                                                                                 ,[]
Acinic cell adenocarcinoma                                                               ,Acinic cell adenocarcinoma                                                                        ,[]
Acne                                                                                     ,Acne                                                                                              ,"['acne vulgaris', 'pimples']"
Acoustic neuroma                                                                         ,Acoustic neuroma                                                                                  ,['neurilemmoma acoustic']
Acrodermatitis - papular                                                                 ,Acrodermatitis - papular                                                                          ,[]
Acromegaly                                                                               ,Acromegaly                                                                                        ,['gigantism']
Acropustulosis - infantile                                                               ,Acropustulosis - infantile                                                                        ,"['chronic acral dermatitis', 'dermatitis repens', 'infantile acropustulosis']"
Actinomycosis                                                                            ,Actinomycosis                                                                                     ,[]
Acute myocardial infarction s/p TPA                                                      ,Acute myocardial infarction s/p TPA                                                               ,"['Acute MI s/p TPA', 'Infarction, Infarct', 'myocardia infarction acute s/p TPA', 'myocardial infarction acute s/p TPA']"
Acute respiratory distress syndrome                                                      ,Adult respiratory distress syndrome (ARDS)                                                        ,"['ARDS', 'adult respiratory distress syndrome']"
Adamantinoma                                                                             ,Adamantinoma                                                                                      ,[]
Adenoacanthoma                                                                           ,Adenoacanthoma                                                                                    ,[]
Adenocarcinoma                                                                           ,Adenocarcinoma                                                                                    ,[]
Adenocarcinoma in-situ                                                                   ,Adenocarcinoma in-situ                                                                            ,[]
Adenofibroma                                                                             ,Adenofibroma                                                                                      ,['cystadenofibroma']
Adenoidectomy                                                                            ,Adenoid removal (adenoidectomy)                                                                   ,[]
Adenoids - large                                                                         ,Adenoids - large                                                                                  ,['hypertrophy adenoids']
Adenoma                                                                                  ,Adenoma                                                                                           ,[]
Adenoma - follicular                                                                     ,Adenoma - follicular                                                                              ,['adenoma follicular']
Adenoma - nephrogenic                                                                    ,Adenoma - nephrogenic                                                                             ,['adenoma nephrogenic']
Adenoma - papillary                                                                      ,Adenoma - papillary                                                                               ,[]
Adenoma - pleomorphic                                                                    ,Adenoma - pleomorphic                                                                             ,"['benign mixed tumor', 'chondroid synringoma', 'mixed tumor', 'myxopleomorphic epithelium', 'salivary gland type mixed tumor']"
Adenoma - sebaceous                                                                      ,Adenoma - sebaceous                                                                               ,[]
Adenoma - testicular                                                                     ,Adenoma - testicular                                                                              ,"[""Pick's tubular adenoma"", 'sertoli cell adenoma', 'tubular androblastoma']"
Adenoma - tubular                                                                        ,Adenoma - tubular                                                                                 ,[]
Adenoma - villous                                                                        ,Adenoma - villous                                                                                 ,[]
Adenosis - sclerosing                                                                    ,Adenosis - sclerosing                                                                             ,['adenosis sclerosing']
Adenosquamous carcinoma                                                                  ,Adenosquamous carcinoma                                                                           ,[]
Adenotonsillar hypertrophy                                                               ,Adenoids and tonsils - enlarged                                                                   ,['hypertrophy T and A']
Adnexal mass                                                                             ,Adnexal mass                                                                                      ,[]
Adrenal cancer                                                                           ,Adrenal cancer                                                                                    ,"['Adrenal CA', 'cancer of adrenal', 'malign neopl adrenal']"
